,t,stimstate,Qm,Vm,"('m', 'Ih')","('m', 'Im')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'SKv31')",Cm,iax
370,0.009225000000000011,1.0,-0.0007755746071979363,-57.449061566633226,4.3006221236122285e-06,1.645391530879603e-05,0.004043358530381471,0.001402282359927015,8.660226659857658e-06,0.013500213685794911,1.5853961301895806e-14
371,0.009250000000000008,1.0,-0.0007756404444744081,-57.45375553870055,4.313394450126036e-06,1.6496043135619757e-05,0.004053580633366476,0.0014062979787239705,8.68243367207454e-06,0.01350025663599903,1.5892010227386802e-14
372,0.009275000000000007,1.0,-0.0007757062642919572,-57.45844826601074,4.3261727934218225e-06,1.6538158357336457e-05,0.004063798914126358,0.0014103146843647382,8.704634230194196e-06,0.013500299567797802,1.593003459835623e-14
373,0.009300000000000006,1.0,-0.0007757720666551541,-57.4631397488897,4.338957151895448e-06,1.658026097703255e-05,0.0040740133735809965,0.0014143324765377892,8.7268283358849e-06,0.013500342481201499,1.5968034421599984e-14
374,0.009325000000000005,1.0,-0.0007758378515685685,-57.46782998766321,4.351747523945929e-06,1.6622350997795893e-05,0.0040842240126501735,0.0014183513549317097,8.749015990814242e-06,0.013500385376220399,1.600600970392015e-14
375,0.009350000000000004,1.0,-0.000775903619036769,-57.472518982656965,4.364543907970148e-06,1.666442842271273e-05,0.00409443083225359,0.0014223713192351517,8.771197196649607e-06,0.013500428252864771,1.6043960452124404e-14
376,0.009375000000000001,1.0,-0.0007759693690643226,-57.477206734196606,4.3773463023668195e-06,1.670649325486871e-05,0.0041046338333108525,0.0014263923691367835,8.793371955057856e-06,0.013500471111144868,1.6081886673025628e-14
377,0.0094,1.0,-0.0007760351016557951,-57.48189324260767,4.390154705533846e-06,1.6748545497348894e-05,0.004114833016741472,0.0014304145043254374,8.81554026770565e-06,0.013500513951070938,1.6119788373442753e-14
378,0.009425,1.0,-0.0007761008168157519,-57.4865785082156,4.402969115870966e-06,1.6790585153237734e-05,0.004125028383464853,0.0014344377244900118,8.837702136258964e-06,0.013500556772653233,1.6157665560200303e-14
379,0.009449999999999998,1.0,-0.0007761665145487563,-57.49126253134581,4.415789531778428e-06,1.6832612225619102e-05,0.0041352199344003165,0.0014384620293194704,8.859857562383407e-06,0.013500599575901972,1.6195518240128378e-14
380,0.009474999999999996,1.0,-0.0007762321948593709,-57.495945312323535,4.428615951656993e-06,1.6874626717576274e-05,0.004145407670467102,0.0014424874185028425,8.88200654774439e-06,0.013500642360827403,1.6233346420062848e-14
381,0.009499999999999995,1.0,-0.0007762978577521572,-57.50062685147401,4.441448373905277e-06,1.691662863219092e-05,0.00415559159258434,0.0014465138917292726,8.904149094006795e-06,0.013500685127439738,1.6271150106845124e-14
382,0.009524999999999994,1.0,-0.0007763635032316752,-57.50530714912236,4.454286796925062e-06,1.695861797254614e-05,0.00416577170167108,0.001450541448687921,8.926285202835146e-06,0.013500727875749186,1.6308929307322146e-14
383,0.009549999999999993,1.0,-0.000776429131302484,-57.509986205593606,4.467131219118643e-06,1.7000594741721417e-05,0.004175947998646263,0.001454570089068113,8.948414875893442e-06,0.01350077060576596,1.634668402834659e-14
384,0.00957499999999999,1.0,-0.0007764947419691414,-57.514664021212724,4.479981638886163e-06,1.7042558942798665e-05,0.004186120484428758,0.0014585998125591889,8.97053811484532e-06,0.013500813317500252,1.6384414276776616e-14
385,0.009599999999999989,1.0,-0.000776560335236204,-57.51934059630458,4.4928380546309385e-06,1.7084510578857196e-05,0.0041962891599373175,0.0014626306188506545,8.992654921354053e-06,0.013500856010962256,1.6422120059476037e-14
386,0.009624999999999988,1.0,-0.0007766259111082274,-57.52401593119396,4.5057004647554635e-06,1.7126449652975734e-05,0.004206454026090609,0.0014666625076319815,9.01476529708255e-06,0.013500898686162156,1.6459801383314536e-14
387,0.009649999999999987,1.0,-0.0007766914695897658,-57.52869002620556,4.518568867662744e-06,1.7168376168233412e-05,0.004216615083807216,0.0014706954785928062,9.036869243693203e-06,0.013500941343110124,1.6497458255167024e-14
388,0.009674999999999986,1.0,-0.0007767570106853724,-57.533362881664,4.531443261754962e-06,1.721029012770778e-05,0.004226772334005618,0.0014747295314227805,9.058966762848036e-06,0.01350098398181634,1.65350906819142e-14
389,0.009699999999999983,1.0,-0.0007768225343995992,-57.53803449789383,4.544323645437475e-06,1.7252191534475793e-05,0.0042369257776041945,0.0014787646658117213,9.081057856208714e-06,0.013501026602290953,1.6572644059727836e-14
390,0.009724999999999982,1.0,-0.0007768880407369969,-57.5427048752195,4.557210017114819e-06,1.7294080391614824e-05,0.004247075415521257,0.0014828008814494612,9.103142525436378e-06,0.013501069204544122,1.6610114773172834e-14
391,0.009749999999999981,1.0,-0.0007769535297021152,-57.54737401396537,4.5701023751907056e-06,1.733595670219966e-05,0.004257221248674996,0.0014868381780258977,9.125220772191967e-06,0.013501111788585995,1.664756118438711e-14
392,0.00977499999999998,1.0,-0.0007770190012995027,-57.55204191445574,4.5830007180706886e-06,1.737782046930649e-05,0.004267363277983519,0.0014908765552310932,9.147292598135901e-06,0.013501154354426712,1.6684983300350987e-14
393,0.009799999999999977,1.0,-0.0007770844555337064,-57.55670857701482,4.595905044159496e-06,1.7419671696008937e-05,0.004277501504364838,0.001494916012755126,9.169358004928235e-06,0.013501196902076396,1.672238112805015e-14
394,0.009824999999999976,1.0,-0.0007771498924092725,-57.561374001966705,4.608815351863703e-06,1.746151038538202e-05,0.004287635928736869,0.001498956550288139,9.191416994228503e-06,0.013501239431545181,1.6759754674475436e-14
