,t,stimstate,Qm,Vm,"('m', 'Ih')",Cm,iax
81,0.001999999999999995,1.0,-0.0007557959087967727,-56.03691075344642,8.585147135767649e-07,0.013487465647814806,1.0921930004374509e-14
82,0.002024999999999995,1.0,-0.0007558669821729516,-56.04199325527554,8.695910122527771e-07,0.013487510673111144,1.105558675669932e-14
83,0.0020499999999999954,1.0,-0.0007559380364986966,-56.04707439479634,8.806729599495682e-07,0.01348755567817615,1.1189164663978195e-14
84,0.0020749999999999957,1.0,-0.0007560090717791121,-56.05215417237379,8.917605551445924e-07,0.013487600663021857,1.1322663777962536e-14
85,0.002099999999999996,1.0,-0.0007560800880193011,-56.057232588372784,9.028537963180246e-07,0.013487645627660272,1.1456084149404696e-14
86,0.0021249999999999967,1.0,-0.0007561510852243646,-56.062309643158166,9.139526819494261e-07,0.013487690572103377,1.1589425828084635e-14
87,0.002149999999999997,1.0,-0.0007562220633994031,-56.06738533709463,9.250572105199699e-07,0.01348773549636317,1.1722688862834226e-14
88,0.0021749999999999972,1.0,-0.000756293022549515,-56.07245967054678,9.361673805090982e-07,0.013487780400451625,1.1855873301562441e-14
89,0.0021999999999999975,1.0,-0.0007563639626797979,-56.07753264387914,9.472831903989809e-07,0.013487825284380714,1.1988979191280339e-14
90,0.002224999999999998,1.0,-0.0007564348837953475,-56.08260425745611,9.58404638671171e-07,0.013487870148162395,1.2122006578121982e-14
91,0.002249999999999998,1.0,-0.0007565057859012587,-56.08767451164203,9.695317238066021e-07,0.013487914991808618,1.2254955507369527e-14
92,0.002274999999999999,1.0,-0.0007565766690026245,-56.092743406801105,9.806644442878218e-07,0.013487959815331326,1.2387826023474456e-14
93,0.002299999999999999,1.0,-0.000756647533104537,-56.09781094329748,9.918027985978754e-07,0.013488004618742446,1.2520618170078492e-14
94,0.0023249999999999994,1.0,-0.0007567183782120865,-56.10287712149516,1.0029467852203069e-06,0.013488049402053904,1.2653331990037679e-14
95,0.0023499999999999997,1.0,-0.0007567892043303623,-56.107941941758085,1.0140964026380378e-06,0.013488094165277614,1.2785967525439007e-14
96,0.002375,1.0,-0.0007568600114644522,-56.11300540445008,1.0252516493344863e-06,0.013488138908425476,1.2918524817623718e-14
97,0.0024000000000000002,1.0,-0.0007569307996194424,-56.118067509934875,1.0364125237946884e-06,0.013488183631509389,1.3051003907205392e-14
98,0.002425000000000001,1.0,-0.0007570015688004182,-56.123128258576116,1.047579024504178e-06,0.013488228334541235,1.3183404834088374e-14
99,0.0024500000000000012,1.0,-0.0007570723190124633,-56.12818765073733,1.0587511499467426e-06,0.013488273017532892,1.3315727637488786e-14
100,0.0024750000000000015,1.0,-0.0007571430502606598,-56.13324568678196,1.0699288986089107e-06,0.01348831768049623,1.3447972355950587e-14
101,0.002500000000000002,1.0,-0.0007572137625500888,-56.13830236707336,1.0811122689754617e-06,0.013488362323443099,1.3580139027363079e-14
102,0.002525000000000002,1.0,-0.0007572844558858301,-56.14335769197476,1.0923012595339189e-06,0.013488406946385357,1.3712227688979566e-14
103,0.0025500000000000024,1.0,-0.0007573551302729617,-56.14841166184932,1.1034958687711792e-06,0.013488451549334837,1.3844238377433457e-14
104,0.002575000000000003,1.0,-0.0007574257857165607,-56.1534642770601,1.11469609517351e-06,0.01348849613230337,1.3976171128754217e-14
105,0.0026000000000000034,1.0,-0.0007574964222217023,-56.15851553797004,1.1259019372299278e-06,0.01348854069530278,1.4108025978385121e-14
106,0.0026250000000000036,1.0,-0.000757567039793461,-56.163565444942,1.1371133934276924e-06,0.013488585238344874,1.4239802961195943e-14
107,0.002650000000000004,1.0,-0.0007576376384369093,-56.168613998338735,1.1483304622545595e-06,0.01348862976144146,1.4371502111500845e-14
108,0.002675000000000004,1.0,-0.000757708218157119,-56.17366119852291,1.1595531421999084e-06,0.013488674264604334,1.4503123463071696e-14
109,0.0027000000000000045,1.0,-0.0007577787789591597,-56.178707045857095,1.1707814317524864e-06,0.01348871874784527,1.4634667049151836e-14
110,0.002725000000000005,1.0,-0.0007578493208481006,-56.18375154070375,1.1820153294026664e-06,0.013488763211176051,1.4766132902472494e-14
111,0.0027500000000000055,1.0,-0.0007579198438290089,-56.18879468342525,1.1932548336401875e-06,0.013488807654608446,1.4897521055264793e-14
112,0.0027750000000000058,1.0,-0.0007579903479069504,-56.19383647438387,1.2044999429564163e-06,0.013488852078154203,1.5028831539272442e-14
113,0.002800000000000006,1.0,-0.00075806083308699,-56.19887691394178,1.2157506558409524e-06,0.01348889648182508,1.5160064385766993e-14
114,0.0028250000000000063,1.0,-0.0007581312993741908,-56.203916002461064,1.227006970786155e-06,0.013488940865632808,1.5291219625558704e-14
115,0.0028500000000000066,1.0,-0.000758201746773615,-56.2089537403037,1.2382688862826132e-06,0.013488985229589124,1.542229728900972e-14
116,0.0028750000000000073,1.0,-0.000758272175290323,-56.213990127831565,1.2495364008225454e-06,0.01348902957370575,1.5553297406045638e-14
117,0.0029000000000000076,1.0,-0.0007583425849293741,-56.21902516540648,1.260809512898665e-06,0.013489073897994386,1.5684220006166983e-14
118,0.002925000000000008,1.0,-0.0007584129756958262,-56.224058853390105,1.2720882210041816e-06,0.013489118202466748,1.581506511846239e-14
119,0.002950000000000008,1.0,-0.0007584833475947357,-56.229091192144054,1.2833725236328014e-06,0.013489162487134521,1.5945832771617738e-14
120,0.0029750000000000085,1.0,-0.0007585537006311576,-56.23412218202981,1.294662419277589e-06,0.013489206752009392,1.6076522993928447e-14
121,0.0030000000000000087,1.0,-0.000758624034810146,-56.23915182340876,1.3059579064321035e-06,0.013489250997103044,1.6207135813309752e-14
122,0.0030250000000000095,1.0,-0.0007586943501367532,-56.24418011664225,1.317258983591537e-06,0.013489295222427129,1.6337671257304973e-14
123,0.0030500000000000097,1.0,-0.0007587646466160305,-56.24920706209144,1.3285656492504383e-06,0.01348933942799332,1.64681293531002e-14
124,0.00307500000000001,1.0,-0.0007588349242530273,-56.254232660117474,1.339877901904991e-06,0.01348938361381326,1.6598158211236813e-14
125,0.0031000000000000103,1.0,-0.000758905183052792,-56.25925691108135,1.3511957400507348e-06,0.013489427779898581,1.6728108575954874e-14
126,0.0031250000000000106,1.0,-0.000758975423020372,-56.26427981534399,1.3625191621825624e-06,0.013489471926260927,1.6857982043253793e-14
127,0.003150000000000011,1.0,-0.0007590456441608127,-56.26930137326621,1.3738481667981434e-06,0.01348951605291191,1.6987778639430308e-14
128,0.0031750000000000116,1.0,-0.0007591158464791583,-56.274321585208725,1.3851827523945011e-06,0.013489560159863146,1.7117498390467313e-14
129,0.003200000000000012,1.0,-0.0007591860299804521,-56.27934045153218,1.396522917468011e-06,0.01348960424712624,1.7247141322041366e-14
130,0.003225000000000012,1.0,-0.0007592561946697354,-56.28435797259708,1.407868660517829e-06,0.013489648314712787,1.7376707459533048e-14
131,0.0032500000000000124,1.0,-0.000759326340552049,-56.289374148763876,1.4192199800413193e-06,0.013489692362634377,1.750619682803187e-14
132,0.0032750000000000127,1.0,-0.0007593964676324311,-56.2943889803929,1.4305768745374838e-06,0.013489736390902576,1.763560945234861e-14
133,0.0033000000000000134,1.0,-0.0007594665759159198,-56.2994024678444,1.441939342504674e-06,0.013489780399528958,1.7764945357019372e-14
134,0.0033250000000000137,1.0,-0.000759536665407551,-56.30441461147851,1.4533073824417347e-06,0.013489824388525086,1.7894204566315835e-14
135,0.003350000000000014,1.0,-0.0007596067361123597,-56.30942541165527,1.4646809928491512e-06,0.013489868357902505,1.8023387104250494e-14
136,0.0033750000000000143,1.0,-0.0007596767880353794,-56.31443486873462,1.4760601722279045e-06,0.013489912307672764,1.815249299458584e-14
137,0.0034000000000000146,1.0,-0.0007597468211816423,-56.31944298307645,1.487444919077173e-06,0.013489956237847385,1.828152226083896e-14
138,0.003425000000000015,1.0,-0.0007598168355561792,-56.32444975504049,1.4988352318989266e-06,0.0134900001484379,1.8410474926292122e-14
139,0.0034500000000000156,1.0,-0.0007598868311640196,-56.32945518498641,1.5102311091944797e-06,0.01349004403945582,1.8539351013994988e-14
140,0.003475000000000016,1.0,-0.0007599568080101915,-56.33445927327377,1.52163254946449e-06,0.013490087910912649,1.8668150546775336e-14
141,0.003500000000000016,1.0,-0.0007600267660997218,-56.33946202026203,1.5330395512124102e-06,0.013490131762819891,1.8796873547242015e-14
142,0.0035250000000000164,1.0,-0.0007600967054758463,-56.34446060533796,1.5444522674463582e-06,0.013490176271273706,1.89255775938488e-14
143,0.0035500000000000167,1.0,-0.0007601666261329955,-56.349453302382955,1.5558709458895673e-06,0.013490221849248163,1.9054297933964874e-14
144,0.003575000000000017,1.0,-0.0007602365280761773,-56.35444466315391,1.567295584937982e-06,0.013490267406951147,1.9182941727817297e-14
145,0.0036000000000000177,1.0,-0.0007603064113103984,-56.35943468800832,1.5787261829892177e-06,0.01349031294439456,1.9311508997238707e-14
146,0.003625000000000018,1.0,-0.0007603762758406638,-56.3644233773036,1.5901627384414098e-06,0.013490358461590265,1.9439999763871973e-14
147,0.0036500000000000182,1.0,-0.0007604461216719775,-56.369410731397025,1.6016052496932121e-06,0.013490403958550145,1.9568414049181013e-14
148,0.0036750000000000185,1.0,-0.000760515948809342,-56.37439675064582,1.6130537151426416e-06,0.013490449435286055,1.9696751874449447e-14
149,0.003700000000000019,1.0,-0.0007605857572577585,-56.37938143540709,1.6245081331893894e-06,0.01349049489180985,1.9825013260789133e-14
150,0.003725000000000019,1.0,-0.0007606555470222267,-56.38436478603784,1.6359685022336663e-06,0.013490540328133373,1.995319822914692e-14
151,0.00375000000000002,1.0,-0.0007607253181077454,-56.389346802895005,1.6474348206738848e-06,0.013490585744268457,2.008130680030519e-14
152,0.00377500000000002,1.0,-0.0007607950705193115,-56.394327486335406,1.6589070869124516e-06,0.013490631140226923,2.0209338994890105e-14
153,0.0038000000000000204,1.0,-0.000760864804261921,-56.399306836715766,1.6703852993488144e-06,0.013490676516020593,2.033729483337491e-14
154,0.0038250000000000207,1.0,-0.0007609345193405685,-56.40428485439273,1.681869456384097e-06,0.01349072187166127,2.0465174336085718e-14
155,0.003850000000000021,1.0,-0.0007610042157602469,-56.40926153972282,1.6933595564211026e-06,0.013490767207160753,2.0592977523203035e-14
156,0.0038750000000000212,1.0,-0.0007610738935259482,-56.414236893062494,1.7048555978619926e-06,0.013490812522530829,2.072070441476979e-14
157,0.003900000000000022,1.0,-0.000761143552642663,-56.41921091476809,1.7163575791094455e-06,0.013490857817783284,2.0848355030692578e-14
158,0.003925000000000022,1.0,-0.0007612131931153802,-56.42418360519586,1.727865498565494e-06,0.01349090309292988,2.097592939074826e-14
159,0.003950000000000022,1.0,-0.0007612828149490879,-56.42915496470196,1.7393793546338516e-06,0.013490948347982385,2.110342751458589e-14
160,0.003975000000000023,1.0,-0.0007613524181487722,-56.434124993642456,1.7508991457187494e-06,0.013490993582952544,2.1230849421730818e-14
161,0.0040000000000000235,1.0,-0.0007614220027194186,-56.43909369237332,1.7624248702249369e-06,0.013491038797852108,2.1358195131590468e-14
162,0.004025000000000023,1.0,-0.0007614915686660109,-56.44406106125041,1.773956526556515e-06,0.013491083992692809,2.1485464663456348e-14
163,0.004050000000000024,1.0,-0.0007615611159935312,-56.44902710062949,1.7854941131192684e-06,0.013491129167486373,2.1612658036506955e-14
164,0.004075000000000024,1.0,-0.000761630644706961,-56.453991810866256,1.797037628318332e-06,0.013491174322244516,2.1739775269813928e-14
165,0.004100000000000025,1.0,-0.0007617001548112801,-56.458955192316296,1.8085870705605256e-06,0.013491219456978946,2.1866816382341946e-14
166,0.004125000000000025,1.0,-0.0007617696463114669,-56.4639172453351,1.8201424382520183e-06,0.013491264571701361,2.199378139295582e-14
167,0.004150000000000025,1.0,-0.0007618391192124986,-56.468877970278044,1.8317037297994956e-06,0.013491309666423455,2.2120670320421094e-14
168,0.004175000000000026,1.0,-0.000761908573519351,-56.47383736750045,1.8432709436101593e-06,0.013491354741156902,2.2247483183408477e-14
169,0.004200000000000026,1.0,-0.0007619780092369985,-56.478795437357505,1.854844078091728e-06,0.013491399795913378,2.237422000049546e-14
170,0.0042250000000000265,1.0,-0.0007620474263704144,-56.48375218020432,1.866423131652437e-06,0.01349144483070455,2.250088079017177e-14
171,0.004250000000000026,1.0,-0.0007621168249245705,-56.48870759639591,1.8780081027010388e-06,0.013491489845542068,2.2627465570840636e-14
172,0.004275000000000027,1.0,-0.0007621862049044372,-56.49366168628722,1.8895989896468023e-06,0.013491534840437571,2.2753974360820676e-14
173,0.004300000000000028,1.0,-0.0007622555663149837,-56.498614450233035,1.9011957908995135e-06,0.013491579815402707,2.2880407178352198e-14
174,0.004325000000000028,1.0,-0.0007623249091611779,-56.503565888588106,1.9127985048682996e-06,0.013491624770449096,2.300676404159568e-14
175,0.004350000000000028,1.0,-0.0007623942334479862,-56.50851600170706,1.92440712996398e-06,0.01349166970558836,2.3133044968637663e-14
176,0.004375000000000028,1.0,-0.0007624635391803738,-56.513464789944436,1.936021664596713e-06,0.013491714620832106,2.3259249977491513e-14
177,0.004400000000000029,1.0,-0.0007625328263633046,-56.518412253654674,1.9476421071783506e-06,0.01349175951619194,2.3385379086100638e-14
178,0.00442500000000003,1.0,-0.0007626020950017411,-56.52335839319214,1.959268456120084e-06,0.013491804391679447,2.351143231234106e-14
179,0.0044500000000000295,1.0,-0.0007626713451006445,-56.52830320891107,1.970900709833618e-06,0.013491849247306219,2.3637409674023315e-14
180,0.00447500000000003,1.0,-0.0007627405766649745,-56.53324670116564,1.982538866732355e-06,0.013491894083083818,2.3763311188895203e-14
181,0.00450000000000003,1.0,-0.0007628097896996898,-56.538188870309895,1.9941829252290327e-06,0.013491938899023823,2.3889136874644096e-14
182,0.004525000000000031,1.0,-0.0007628789842097476,-56.54312971669782,2.005832883735724e-06,0.013491983695137781,2.4014886748898443e-14
183,0.004550000000000031,1.0,-0.0007629481602001038,-56.54806924068329,2.017488740667378e-06,0.013492028471437247,2.4140560829230678e-14
184,0.004575000000000031,1.0,-0.0007630173176757129,-56.55300744262008,2.029150494438281e-06,0.013492073227933757,2.4266159133159122e-14
185,0.004600000000000032,1.0,-0.0007630864566415281,-56.557944322861886,2.040818143462049e-06,0.013492117964638839,2.4391681678149892e-14
186,0.004625000000000032,1.0,-0.0007631555771025013,-56.562879881762285,2.0524916861539977e-06,0.013492162681564017,2.4517128481619006e-14
187,0.004650000000000033,1.0,-0.0007632246790635831,-56.56781411967477,2.0641711209299582e-06,0.013492207378720809,2.4642298478156292e-14
188,0.004675000000000032,1.0,-0.0007632937625297226,-56.57274703695277,2.075856446206278e-06,0.013492252056120707,2.4767247339239038e-14
189,0.004700000000000033,1.0,-0.0007633628275058679,-56.57767863394956,2.087547660398633e-06,0.013492296713775217,2.4892120877258757e-14
190,0.004725000000000034,1.0,-0.0007634318739969657,-56.58260891101837,2.099244761923215e-06,0.013492341351695823,2.5016919109852225e-14
191,0.004750000000000034,1.0,-0.0007635009020079609,-56.58753786851232,2.1109477491979155e-06,0.013492385969893998,2.5141642054614243e-14
192,0.004775000000000034,1.0,-0.0007635699115437979,-56.59246550678442,2.1226566206399556e-06,0.013492430568381219,2.5266289729100048e-14
193,0.004800000000000034,1.0,-0.000763638902609419,-56.59739182618763,2.1343713746682594e-06,0.013492475147168939,2.5390862150823524e-14
194,0.004825000000000035,1.0,-0.0007637078752097657,-56.602316827074745,2.146092009699887e-06,0.013492519706268618,2.5515359337264502e-14
195,0.004850000000000036,1.0,-0.0007637768293497777,-56.60724050979853,2.1578185241547925e-06,0.013492564245691688,2.5639781305864884e-14
196,0.0048750000000000356,1.0,-0.0007638457650343941,-56.61216287471162,2.1695509164510635e-06,0.013492608765449594,2.576412807403304e-14
197,0.004900000000000036,1.0,-0.0007639146822685519,-56.61708392216658,2.181289185009685e-06,0.013492653265553755,2.588839965914456e-14
198,0.004925000000000036,1.0,-0.0007639835810571872,-56.62200365251585,2.1930333282497716e-06,0.013492697746015591,2.6012596078544363e-14
199,0.004950000000000037,1.0,-0.0007640524614052346,-56.62692206611181,2.2047833445921457e-06,0.013492742206846507,2.6136717349546628e-14
200,0.004975000000000037,1.0,-0.0007641213233176276,-56.63183916330671,2.216539232458144e-06,0.013492786648057907,2.6260763489438466e-14
201,0.005000000000000037,1.0,-0.0007641901667992984,-56.63675494445273,2.228300990269617e-06,0.013492831069661183,2.6384734515479136e-14
202,0.005025000000000038,1.0,-0.0007642589918551776,-56.641669409901965,2.2400686164477353e-06,0.013492875471667711,2.6508630444901186e-14
