,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
206,0.005125000000000039,1.0,-0.00022462221029890636,-25.004783183042292,0.01299810376879202,2.118811058626751e-07,0.01299810376879202,4.139899352248179e-05,0.0002672390202572847,1.5219623435219943e-06,0.008484563845890492,3.385857021816007e-05,3.0552681340419734e-05,0.008983169686159899,888686.9667513156
207,0.00515000000000004,1.0,-0.00011100580926927136,-33.859087833595034,0.013045211143011763,2.1320778031824937e-07,0.013045211143011763,4.15733670197339e-05,0.0002681063534040059,1.5308132203157505e-06,0.008515600542586347,3.408339428260056e-05,3.0643360787550454e-05,0.0032784642579511917,1151817.0918243104
208,0.00517500000000004,1.0,-0.00015966732564393296,-16.752755735387687,0.013144368976022617,2.1358785762208366e-07,0.013144368976022617,4.158024873606279e-05,0.00027045828459672727,1.5329831801252026e-06,0.008579271862248349,3.412171103872054e-05,3.092621339188628e-05,0.009530809627138516,645658.842198151
209,0.0052000000000000405,1.0,-0.00013977309556465172,-24.086747168736636,0.01321704971145053,2.1432906072047158e-07,0.01321704971145053,4.160990187686871e-05,0.0002719759925269098,1.5369079399946248e-06,0.00862585737826689,3.4214070746483455e-05,3.1096098317483984e-05,0.005802904584230039,860127.744425612
210,0.00522500000000004,1.0,-0.00020990987469826907,-21.089513111036485,0.013299885543256382,2.1491092638562936e-07,0.013299885543256382,4.1626469435594615e-05,0.0002737876931965513,1.5399793363126198e-06,0.008678766687978035,3.427898086089465e-05,3.1304291569893335e-05,0.00995328216413018,771130.1521681526
211,0.005250000000000041,1.0,-0.00013501870238196478,-31.64777047287049,0.01335174208048876,2.1609864387908341e-07,0.01335174208048876,4.174498082271523e-05,0.0002747698497486299,1.5473387853800728e-06,0.008712708085610076,3.447170638214208e-05,3.1408320096574025e-05,0.004266294287545698,1084156.7816002597
212,0.005275000000000041,1.0,-0.00019211976742632825,-20.37293952381893,0.01343716482247931,2.1664501094099508e-07,0.01343716482247931,4.175949261894785e-05,0.0002766625750057825,1.5502422297280727e-06,0.00876727206247579,3.453144461975959e-05,3.1627401065767085e-05,0.009430144687844987,751098.5648765651
213,0.005300000000000042,1.0,-0.00015155209599087703,-28.97201452577157,0.013495590147893942,2.1766920899158569e-07,0.013495590147893942,4.183352067789769e-05,0.00027780712528678597,1.556137545961055e-06,0.008805194896728211,3.468525556092885e-05,3.175083833152247e-05,0.00523098232800023,1004975.3588766152
214,0.005325000000000042,1.0,-0.00021954872331114217,-22.864300036057404,0.013572277080209532,2.1834399686336644e-07,0.013572277080209532,4.185706171021759e-05,0.0002794385797069383,1.559690365114113e-06,0.008854240137880167,3.476552992174463e-05,3.1935379964207286e-05,0.00960224992520698,824247.4780963928
215,0.005350000000000042,1.0,-0.0001361652890412268,-33.09671433389723,0.013620915913995139,2.196223595257448e-07,0.013620915913995139,4.200939619327104e-05,0.0002803434118524244,1.5679908181966976e-06,0.008886201326733682,3.497944763607489e-05,3.203036950815538e-05,0.004114163347682161,1127694.6438687264
216,0.005375000000000043,1.0,-0.0001982879373891184,-20.54575100236367,0.013705687543684827,2.2017728752921942e-07,0.013705687543684827,4.2024398699499024e-05,0.0002822165641171744,1.57093476327947e-06,0.008940338204373632,3.5040426475023614e-05,3.22468179346305e-05,0.00965104353529382,756301.3592404678
217,0.005400000000000043,1.0,-0.00014249634841282727,-29.89994413575604,0.013761719024794138,2.2125762945735296e-07,0.013761719024794138,4.2111761026412275e-05,0.0002833019192223448,1.577303174470664e-06,0.008976801710448326,3.520755512655724e-05,3.236311654194739e-05,0.00476577306518851,1032384.3131225895
218,0.0054250000000000435,1.0,-0.00021140535946145985,-21.49985814748715,0.01384307755338252,2.2186079198376764e-07,0.01384307755338252,4.212984383194436e-05,0.0002850711034963971,1.5804830024663532e-06,0.009028761946109428,3.527589887778439e-05,3.256570482234736e-05,0.009832872292051303,783674.8218713171
219,0.005450000000000044,1.0,-0.00015786204777829864,-31.872581234699396,0.013894398333735134,2.2306256232100745e-07,0.013894398333735134,4.225353992262327e-05,0.0002860411634183119,1.5879876101014898e-06,0.009062355521545393,3.547190373234264e-05,3.266831037567753e-05,0.004952910673153627,1090686.2486191331
220,0.005475000000000044,1.0,-0.00021739593615751967,-23.814807021028933,0.013967915671441665,2.2378899091583167e-07,0.013967915671441665,4.228182361484619e-05,0.00028758410686901154,1.5918296232817072e-06,0.0091094288804438,3.556156090296879e-05,3.284144005468206e-05,0.00912860372815765,852219.562851422
221,0.005500000000000045,1.0,-0.00010525050524658977,-32.77310138242878,0.014017241403808658,2.2504710553680467e-07,0.014017241403808658,4.2426582749873744e-05,0.0002885061560697014,1.5999196829818363e-06,0.009141796445690567,3.57707365756467e-05,3.2938434802746015e-05,0.0032114905458114377,1117831.9869289184
222,0.005525000000000045,1.0,-0.00018246651787096022,-15.884771982115588,0.014119753472973536,2.253923451058258e-07,0.014119753472973536,4.243232456132087e-05,0.0002909864047493711,1.6019478247339173e-06,0.009207776659578523,3.580527124008447e-05,3.324003933058376e-05,0.011486883039705976,618251.3938093438
223,0.005550000000000045,1.0,-0.00015916145909823084,-27.519390732823517,0.014182057705152995,2.2633005090418516e-07,0.014182057705152995,4.2489133195092765e-05,0.000292230504297253,1.6071712705788899e-06,0.009248017850608279,3.5939041159257706e-05,3.337561920079299e-05,0.005783611295884991,960153.4017480313
224,0.005575000000000045,1.0,-0.0002365422539029725,-24.01054536857205,0.014254905903736565,2.270671138759717e-07,0.014254905903736565,4.251839122526251e-05,0.0002937551989826279,1.6110728360170568e-06,0.009294667097298027,3.6030627043919086e-05,3.3546393561303176e-05,0.009851598548552255,856474.6294722533
225,0.005600000000000046,1.0,-0.0001746651893923032,-35.649777331993405,0.014298410059712524,2.2850819199272352e-07,0.014298410059712524,4.275257261688726e-05,0.0002945388925663392,1.6213112458301165e-06,0.00932342843937987,3.6280440296748474e-05,3.3627506916736406e-05,0.004899474904589441,1202686.9404842893
226,0.005625000000000047,1.0,-0.00022543537141685497,-26.34508143469388,0.014364075442165987,2.293774283920409e-07,0.014364075442165987,4.279835806647314e-05,0.00029587062035134587,1.6260507733894404e-06,0.009365697140056462,3.639906063061008e-05,3.377393973673663e-05,0.00855701934251677,927111.0427832489
