,t,stimstate,Qm,Vm,Cm,iax
173,0.004300000000000028,1.0,-0.0006122331508035518,-45.71511594416263,0.013392356951502557,131270.16092438338
174,0.004325000000000028,1.0,-0.0006117561244309261,-45.67774738268527,0.01339286982139623,131157.31748143106
175,0.004350000000000028,1.0,-0.0006112163106442231,-45.64300452597287,0.01339123743040216,131056.95853200667
176,0.004375000000000028,1.0,-0.0006107030548285709,-45.60368872684928,0.013391527568887602,130935.40616231503
177,0.004400000000000029,1.0,-0.0006101827391791722,-45.566307201878544,0.013391094794576999,130825.70835299231
178,0.00442500000000003,1.0,-0.0006097054127469705,-45.528411494031666,0.013391756767681144,130712.406351776
179,0.0044500000000000295,1.0,-0.0006091954037660961,-45.49362169631542,0.013390787126878391,130612.71296966744
180,0.00447500000000003,1.0,-0.0006087204293553777,-45.456433212993595,0.013391293296223176,130500.47008838218
181,0.00450000000000003,1.0,-0.0006082017051987784,-45.421799356309336,0.013390083920449002,130400.55451484334
182,0.004525000000000031,1.0,-0.0006077170860624988,-45.383975385811304,0.013390565301877311,130285.3261921071
183,0.004550000000000031,1.0,-0.000607213766017424,-45.348638261676605,0.013389900762038326,130182.98112777178
184,0.004575000000000031,1.0,-0.0006067470038591988,-45.31193751756477,0.013390444926880444,130072.98703043365
185,0.004600000000000032,1.0,-0.0006062134508753991,-45.277902476247164,0.01338872645863883,129975.05614166505
186,0.004625000000000032,1.0,-0.000605725690367536,-45.23899722754874,0.013389458818478701,129854.75214107872
187,0.004650000000000033,1.0,-0.0006052310718128199,-45.20343104304624,0.01338905162390155,129752.29719505842
188,0.004675000000000032,1.0,-0.0006047805142916879,-45.16736478821051,0.013389767526343408,129645.11896232312
189,0.004700000000000033,1.0,-0.000604288408392886,-45.13451134545071,0.013388610851855267,129551.46172844694
190,0.004725000000000034,1.0,-0.0006038222897253999,-45.098628306726994,0.01338892805383468,129442.44352436504
191,0.004750000000000034,1.0,-0.0006032863545687982,-45.06464018702353,0.013387133505672947,129343.6802139941
192,0.004775000000000034,1.0,-0.000602775188189203,-45.02556123669075,0.013387399770999618,129222.35653190644
193,0.004800000000000034,1.0,-0.0006022659193961422,-44.988288358966784,0.013387171225332967,129112.82399974142
194,0.004825000000000035,1.0,-0.0006018043921376731,-44.951153848149744,0.013387963169324613,129002.58095353161
195,0.004850000000000036,1.0,-0.0006013009806739531,-44.91750052164416,0.013386786301348345,128906.57327579855
196,0.0048750000000000356,1.0,-0.0006008272177613429,-44.88079311153058,0.013387179149625611,128794.92137681105
197,0.004900000000000036,1.0,-0.0006003335577809216,-44.84624759403029,0.013386483596474525,128694.61731794645
198,0.004925000000000036,1.0,-0.0005998813075204103,-44.81025123585425,0.013387144480913427,128586.44074560878
199,0.004950000000000037,1.0,-0.000599385420474931,-44.777264437340364,0.013385932079743028,128491.8853359702
200,0.004975000000000037,1.0,-0.0005989225621353057,-44.74106421863011,0.013386417435415302,128381.91010903059
201,0.005000000000000037,1.0,-0.0005984072101770214,-44.707275126378036,0.013385007439738843,128284.31016516671
202,0.005025000000000038,1.0,-0.0005979170142079725,-44.66965395080442,0.013385306608071565,128168.9447293952
203,0.005050000000000038,1.0,-0.0005974175583718801,-44.63386918600317,0.013384848082120239,128064.36819374589
204,0.005075000000000039,1.0,-0.0005969658162271962,-44.59740844223604,0.013385661568214328,127955.60838495441
205,0.0051000000000000385,1.0,-0.0005964915163848863,-44.56443084262483,0.013384923920409552,127861.74512430083
206,0.005125000000000039,1.0,-0.0005960480414837695,-44.52980650996199,0.01338537236514658,127758.08758649738
207,0.00515000000000004,1.0,-0.0005955342680164449,-44.497432426873324,0.013383564748261386,127664.91756670193
208,0.00517500000000004,1.0,-0.0005950451563875665,-44.45992648261799,0.013383853808669811,127548.6514491661
209,0.0052000000000000405,1.0,-0.0005945537501892381,-44.42422087566467,0.013383549299677897,127444.1238783012
210,0.00522500000000004,1.0,-0.0005941087079567737,-44.388347762992666,0.013384339311950972,127337.52961931934
211,0.005250000000000041,1.0,-0.000593620389376886,-44.35585926324784,0.01338313357551716,127245.03019171875
212,0.005275000000000041,1.0,-0.0005931617101977321,-44.320211549613504,0.013383548711939865,127136.56584765158
213,0.005300000000000042,1.0,-0.0005926823767894548,-44.28672753998956,0.013382844245023087,127039.55719165507
214,0.005325000000000042,1.0,-0.0005922428543446419,-44.25173575229724,0.013383494325731545,126934.55982914835
215,0.005350000000000042,1.0,-0.000591753949531873,-44.21965020222018,0.013382149040657997,126842.74902220423
216,0.005375000000000043,1.0,-0.000591297983137009,-44.18395969303651,0.01338263902205666,126733.58994857743
217,0.005400000000000043,1.0,-0.0005908130733307905,-44.15067371920622,0.013381745363350543,126637.30765132337
218,0.0054250000000000435,1.0,-0.0005903688383453175,-44.115274849242,0.013382413242642676,126530.36858442186
219,0.005450000000000044,1.0,-0.0005898958300203068,-44.08284527928351,0.013381528036202442,126437.4132459184
220,0.005475000000000044,1.0,-0.0005894554749575095,-44.048306597492505,0.013382023521218972,126333.38297888808
221,0.005500000000000045,1.0,-0.0005889481982861068,-44.01612377949475,0.013380283126168253,126241.06552318722
222,0.005525000000000045,1.0,-0.0005884849244453306,-43.97905007654568,0.01338102854475189,126126.49971255352
223,0.005550000000000045,1.0,-0.0005880178041768191,-43.94519226733574,0.013380708419698736,126029.24055526195
224,0.005575000000000045,1.0,-0.0005875981870826272,-43.91105334659966,0.0133815552645614,125928.3069557245
225,0.005600000000000046,1.0,-0.0005871410465626139,-43.88038613799453,0.013380489513382575,125841.76171992788
226,0.005625000000000047,1.0,-0.000586707118190693,-43.84697657512602,0.013380788460646713,125740.92228549502
227,0.0056500000000000465,1.0,-0.0005862031261004588,-43.81526344407018,0.013378970706149976,125649.18014332275
228,0.005675000000000047,1.0,-0.0005857260298712388,-43.77842979076941,0.013379329333432098,125535.00906229032
229,0.005700000000000047,1.0,-0.0005852485448416448,-43.74356178899177,0.013379078449641127,125432.9820605762
230,0.005725000000000048,1.0,-0.000584820594846913,-43.708665372208316,0.013379969163248918,125329.58348208424
231,0.0057500000000000485,1.0,-0.0005843355165389078,-43.67738916362994,0.01337844426437198,125241.06209987451
232,0.005775000000000048,1.0,-0.000583888817283604,-43.64193780126334,0.013379076335760272,125132.16046179907
233,0.005800000000000049,1.0,-0.0005834318873553415,-43.60929132561739,0.013378614272794116,125038.23997790214
234,0.005825000000000049,1.0,-0.0005830190656175468,-43.57589715359269,0.013379393281624697,124938.97026650285
235,0.00585000000000005,1.0,-0.0005825533746017643,-43.545726575403876,0.01337796887125109,124853.50347880545
236,0.0058750000000000495,1.0,-0.0005821166620452707,-43.51169210987754,0.013378396330238903,124749.304255491
237,0.00590000000000005,1.0,-0.0005816391933761905,-43.47977550005435,0.013377235431573545,124656.9783388648
238,0.005925000000000051,1.0,-0.0005811926269986906,-43.44488027895929,0.013377701199010253,124550.69125870203
239,0.005950000000000051,1.0,-0.0005807241686957042,-43.41224351452719,0.013376967456228666,124456.2061957463
240,0.0059750000000000515,1.0,-0.0005802992118353081,-43.3780068051573,0.01337772882100971,124353.32081419308
241,0.006000000000000051,1.0,-0.0005798396932073303,-43.346949346187365,0.013376712824159349,124264.83665427893
242,0.006025000000000052,1.0,-0.0005794123212932998,-43.31335289681384,0.013377221631251773,124163.36617335452
243,0.006050000000000053,1.0,-0.0005789176791146959,-43.282084051495175,0.013375457577918946,124073.72868168446
244,0.006075000000000053,1.0,-0.0005784621929800866,-43.24589334905759,0.013376118474673444,123961.81469934885
245,0.006100000000000053,1.0,-0.0005780095425869661,-43.212567514999904,0.01337595925968361,123865.79387009711
246,0.006125000000000053,1.0,-0.000577603636158131,-43.17944915915747,0.013376818079107736,123768.41430236031
247,0.006150000000000054,1.0,-0.0005771398745881221,-43.149750845065185,0.013375277105548493,123684.8041740826
248,0.006175000000000054,1.0,-0.0005767054275637255,-43.11581953530598,0.013375726909040481,123580.81668934342
249,0.006200000000000054,1.0,-0.0005762546459704339,-43.084033036570254,0.013375132394901424,123489.05346517649
250,0.006225000000000055,1.0,-0.0005758463411911784,-43.051051412251034,0.01337589495032193,123390.70036517642
251,0.006250000000000055,1.0,-0.0005753665863892531,-43.02117762184443,0.013374031539692327,123306.04953597338
252,0.006275000000000056,1.0,-0.0005749312895289747,-42.98607616056492,0.01337482601067022,123197.29192650851
253,0.0063000000000000556,1.0,-0.0005744884042582641,-42.9542274832305,0.013374432225152848,123106.19533233723
254,0.006325000000000056,1.0,-0.0005740852422192451,-42.921823596664424,0.013375136331902238,123010.21801917972
